Utterances;Ground_Truth_Risk;Predicted_Risk
1;0.85;0.69
2;1.1;1.3
3;0.8;0.83
4;0.1;0.1
5;0.1;0.1
6;0.1;0.42
7;0.7;0.73
8;0.7;0.73
9;0.1;0.1
10;0.1;0.1
11;1.1;2.12
12;0.1;0.26
13;1.0;1.86
14;0.1;0.1
15;0.6;0.1
16;1.0;1.86
17;0.1;0.1
18;0.7;0.32
19;0.5;0.59
20;0.1;0.26
21;0.1;0.1
22;0.65;0.54
23;0.8;0.66
24;0.5;1.24
25;1.1;1.3
26;1.1;2.12
27;0.65;0.58
28;0.1;0.1
29;0.9;0.85
30;0.15;0.1
31;1.2;1.16
32;0.1;0.1
33;1.05;1.16
34;0.9;0.85
35;0.1;0.1
36;1.0;1.86
37;0.5;0.1
38;0.8;0.66
39;0.65;0.58
40;0.8;0.83
41;1.05;0.88
42;1.05;1.16
43;0.6;0.67
44;1.2;1.16
45;1.0;1.86
46;0.2;0.2
47;1.2;1.16
48;0.85;0.69
49;0.15;0.1
50;0.1;0.1
51;0.82;0.67
52;0.8;0.78
53;1.05;1.16
54;0.85;0.49
55;1.1;1.3
56;0.8;0.83
57;1.05;1.16
58;0.1;0.42
59;0.1;0.1
60;0.5;1.24
61;0.15;0.1
62;0.1;0.1
63;0.1;0.1
64;0.1;0.1
65;0.85;0.69
66;1.1;1.3
67;0.7;0.67
68;0.1;0.1
69;0.65;0.58
70;0.9;0.85
71;0.1;0.1
72;0.7;0.67
73;0.8;0.83
74;0.1;0.1
75;0.7;0.73
76;0.6;0.67
77;0.8;0.83
78;1.05;0.88
79;1.05;0.88
80;0.7;0.32
81;0.7;0.68
82;0.8;0.66
83;0.65;0.58
84;0.9;0.85
85;0.8;0.83
86;0.5;0.59
87;0.82;0.67
88;0.7;0.32
89;0.1;0.42
90;0.1;0.1
91;1.05;0.88
92;0.1;0.26
93;0.65;0.54
94;1.05;0.88
95;0.7;0.67
96;1.05;0.88
97;1.05;1.16
98;1.1;2.12
99;0.7;0.67
100;0.7;0.68
101;0.1;0.1
102;1.05;1.16
103;0.65;0.54
104;0.9;0.85
105;1.1;1.3
106;1.1;1.3
107;0.1;0.1
108;0.7;0.43
109;0.8;0.56
110;0.8;0.56
111;1.2;1.16
112;0.6;0.1
113;0.1;0.42
114;1.1;1.3
115;0.85;0.69
116;0.7;0.43
117;0.8;0.56
118;0.65;0.58
119;0.1;0.26
120;0.8;0.66
121;1.0;1.86
122;0.2;0.2
123;0.8;0.66
124;0.8;0.66
125;0.5;0.1
126;0.6;0.1
127;0.7;0.73
128;0.8;0.66
129;0.1;0.1
130;0.7;0.32
131;0.7;0.67
132;0.65;0.54
133;0.7;0.43
134;1.1;2.12
135;0.2;0.2
136;0.8;0.83
137;0.65;0.54
138;0.9;0.85
139;0.7;0.32
140;0.1;0.1
141;1.1;1.3
142;0.8;0.56
143;0.8;0.56
144;0.1;0.1
145;0.5;0.59
146;1.0;1.86
147;1.1;2.12
148;0.6;0.67
149;1.0;1.86
150;1.0;1.86
151;0.8;0.66
152;0.1;0.42
153;0.8;0.56
154;0.7;0.32
155;0.7;0.67
156;0.1;0.1
157;1.0;1.86
158;0.1;0.1
159;0.8;0.56
160;0.2;0.2
161;0.8;0.56
162;1.2;1.16
163;0.7;0.73
164;0.6;0.67
165;0.1;0.1
166;0.7;0.68
167;0.82;0.67
168;0.2;0.2
169;0.1;0.26
170;0.7;0.73
171;0.5;1.24
172;0.7;0.32
173;0.9;0.85
174;0.2;0.2
175;0.5;1.24
176;0.85;0.69
177;1.1;2.12
178;0.5;0.1
179;0.1;0.1
180;0.1;0.1
181;1.1;2.12
182;0.1;0.1
183;0.5;0.1
184;0.8;0.56
185;0.65;0.58
186;0.7;0.32
187;0.15;0.1
188;0.7;0.67
189;0.7;0.73
190;0.8;0.66
191;0.1;0.1
192;0.1;0.42
193;0.85;0.49
194;0.6;0.1
195;1.05;0.88
196;0.65;0.58
197;0.5;1.24
198;0.1;0.1
199;1.0;1.86
200;0.7;0.67
201;0.5;0.59
202;0.7;0.68
203;0.8;0.56
204;0.9;0.85
205;1.05;0.88
206;0.1;0.1
207;0.5;1.24
208;1.1;2.12
209;0.5;0.1
210;0.1;0.1
211;0.7;0.32
212;0.1;0.1
213;0.7;0.73
214;0.8;0.83
215;0.5;0.1
216;1.05;0.88
217;0.1;0.1
218;1.05;0.88
219;0.1;0.1
220;0.85;0.69
221;0.15;0.1
222;0.15;0.1
223;1.0;1.86
224;1.05;0.88
225;0.5;1.24
226;0.7;0.32
227;1.2;1.16
228;0.7;0.32
229;1.05;1.16
230;0.1;0.1
231;0.5;0.1
232;0.8;0.83
233;0.65;0.58
234;1.1;2.12
235;0.6;0.67
236;0.7;0.32
237;0.5;0.59
238;0.1;0.26
239;0.1;0.26
240;0.6;0.1
241;0.8;0.83
242;0.65;0.54
243;0.65;0.54
244;0.82;0.67
245;0.1;0.1
246;0.6;0.1
247;0.7;0.32
248;0.8;0.66
249;0.7;0.32
250;0.7;0.68
251;0.1;0.1
252;1.2;1.16
253;1.05;0.88
254;0.6;0.67
255;0.8;0.66
256;0.6;0.1
257;0.85;0.69
258;0.2;0.2
259;1.05;0.88
260;0.1;0.1
261;0.85;0.69
262;0.85;0.49
263;1.05;0.88
264;0.7;0.32
265;0.1;0.1
266;0.8;0.56
267;0.1;0.42
268;0.7;0.32
269;1.1;2.12
270;0.15;0.1
271;0.1;0.1
272;0.85;0.49
273;1.1;2.12
274;0.1;0.1
275;0.8;0.56
276;0.1;0.26
277;0.1;0.42
278;1.0;1.86
